323|679
324|676
327|679
328|674
328|678
329|673
330|673
331|674
331|676
332|673
332|675
334|676
334|677
335|678
336|674
336|679
337|673
337|676
337|677
337|679
338|673
338|676
339|672
339|673
339|676
339|679
341|673
342|678
343|673
343|675
343|677
343|679
346|675
346|676
347|674
348|675
348|676
349|678
350|676
351|679
319|695
321|681
321|697
321|699
322|688
323|692
324|687
325|682
325|683
325|694
326|685
326|687
326|694
326|695
327|681
327|682
327|685
329|693
330|686
330|693
331|681
331|682
332|687
332|689
332|695
332|697
333|682
333|685
333|687
334|695
335|681
335|682
335|684
335|687
336|681
336|687
336|696
337|681
337|683
337|686
338|682
338|685
338|688
338|695
339|681
339|683
341|682
341|691
342|681
342|685
342|686
342|694
343|681
344|684
344|685
344|687
345|690
345|694
346|690
346|694
347|681
347|686
347|692
347|693
348|691
349|697
350|682
350|686
350|688
350|689
350|697
351|690
351|691
351|694
352|687
352|694
352|696
353|681
353|682
353|683
353|687
353|694
353|699
354|684
354|688
355|683
355|693
355|694
356|685
322|704
324|702
324|706
333|708
334|707
335|709
338|705
341|702
343|707
344|704
346|701
347|701
349|705
350|701
350|702
351|703
353|701
